"Timestamp","Which one of the following represents your age?","Occupation","Which one of the following best represents your annual personal income?","Are you currently covered by an insurance policy?","If your answer to the above is 'Yes', what is the type of policy you have purchased? If your answer to the above is 'No', select NIL.","If you are currently covered by an insurance, who purchased the insurance policy for you? Select 'NIL' if you are not covered under any insurance policy.","Would you be interested in getting an/another insurance policy?","Why are you interested in purchasing an insurance policy?","What do you look out for when buying an insurance?","What is stopping you from buying an insurance policy?","What are some areas of coverage you hope to have in your future insurance policy? You can be creative :D","Describe a situation in which having an insurance would have helped you.","Have you heard of Prudential?","Do you currently have a policy under Prudential?","If you chose ""Yes"" above, select the type of policies that you have purchased under Prudential. Else, select ""NIL""","If you have bought an insurance from Prudential before, would you buy a policy from them again? Select 'NIL' if you have never bought an insurance from Prudential.","What do you think of their policies and any improvements/suggestions you hope to see from Prudential?"
"2021/01/13 5:41:50 pm GMT+8","22 to 36 years old","student","$25,000 and below","Yes","Life Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Clarity of policy","","Pandemic","Pandemic","Yes","Not sure","NIL","NIL","In the event of a pandemic"
"2021/01/13 5:42:30 pm GMT+8","22 to 36 years old","Student","No income","Yes","Not sure","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Sickness;Pandemic;Fraud","Train breakdown then I need to take other modes of transport. Insurance can pay me for the extra fees that I pay for cab/grab","Yes","No","NIL","NIL","More advertisement to promote or tell me what policies is suitable for me"
"2021/01/13 5:42:41 pm GMT+8","21 years old and under","student","No income","Yes","Life Insurance","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Travel","nil","Yes","No","NIL","NIL","not sure"
"2021/01/13 5:42:58 pm GMT+8","22 to 36 years old","Student","No income","Yes","Not sure","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Fraud;Housing/Property","Pandemic","Yes","No","NIL","NIL","job related insurance"
"2021/01/13 5:53:18 pm GMT+8","21 years old and under","student","No income","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance","Parents","No","","","Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","dkkkkkk","Yes","Not sure","NIL","No","claim easier la"
"2021/01/13 5:54:55 pm GMT+8","22 to 36 years old","Student, art teacher","$25,000 and below","Yes","Life Insurance;Health Insurance;Travel Insurance;Savings Insurance","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Accident;Travel;Pandemic;Disability;Housing/Property","Hospitalisation","Yes","No","NIL","NIL","Nil"
"2021/01/13 5:56:01 pm GMT+8","22 to 36 years old","Cleaner","$25,000 and below","No","NIL","NIL","No","","","Financial difficulties","Sickness;Death","Medical Bills","Yes","No","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance","NIL","Better Service"
"2021/01/13 5:56:15 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance","Parents;They purchase first, then i will pay when i can","No","","","Lack of information;Unnecessary;Family member(s) have already bought it for you","Travel;Disability","None do far","Yes","No","NIL","NIL","Transparency"
"2021/01/13 5:56:16 pm GMT+8","21 years old and under","Student","No income","Yes","Life Insurance","Parents","No","","","Financial difficulties;Unnecessary","theres this insurance that grows money for ur future generations under NTUC income","Like flight cancellation when taking planes and I think school has some insurance coverage. ","Yes","No","NIL","NIL","Never bothered to listen to them, always just tell them that I'm a student"
"2021/01/13 5:56:26 pm GMT+8","22 to 36 years old","Undergraduate","$25,000 and below","Yes","Life Insurance;Health Insurance;Investment Insurance;Savings Insurance","Myself;Parents","No","","","Financial difficulties;Family member(s) have already bought it for you","Sickness;Death;Accident;Pandemic;Disability","Overseas accident where i could claim loss of items and medical fees.","Yes","Yes","Investment Insurance;Savings Insurance","Yes","None needed."
"2021/01/13 5:56:47 pm GMT+8","22 to 36 years old","Student","Above $200,000","Yes","Motor/Vehicle Insurance","NIL","No","","","Too mainstream","I said no though","When someone hits my vehicle, I'll sue until their pants drop but I have my own injuries covered too.","No","No","NIL","No","Insurance pests"
"2021/01/13 5:57:37 pm GMT+8","22 to 36 years old","Student ","$25,000 and below","No","NIL","NIL","Yes","For investment purposes;For future precautions","Coverage;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Hospitalisation ","Yes","Yes","Critical illness","Yes","It’s alright "
"2021/01/13 5:58:19 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance;Savings Insurance","Parents","No","","","Unnecessary","Sickness;Accident","operation on injury","Yes","No","NIL","NIL","nil"
"2021/01/13 5:59:21 pm GMT+8","22 to 36 years old","","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","If I fall ill in the middle of my big plans","Yes","No","NIL","NIL","I don't know much about prudential or any insurance really"
"2021/01/13 6:00:00 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance;Investment Insurance;Savings Insurance","Parents","No","","","Family member(s) have already bought it for you;Covered enough already","Pandemic;Fraud;Disability;Housing/Property","Travel Insurance when my flight was delayed for >6 hrs","Yes","No","NIL","NIL","nil"
"2021/01/13 6:00:15 pm GMT+8","21 years old and under","","$25,000 and below","No","NIL","NIL","Yes","For investment purposes;For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","when paying for medical bills","Yes","No","NIL","NIL","don't know much to comment but hope they do more publicity for people like me to know more"
"2021/01/13 6:01:16 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents;Government: Dependent Protection Scheme","Yes","For future precautions","Coverage;Company, Payout & How does it work.","","Sickness;Death;Accident;Travel;Housing/Property","When I am overseas, and a natural disaster occurs, my belongings are insured.","Yes","No","NIL","NIL","NIL"
"2021/01/13 6:02:07 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance","Myself;Parents","No","","","Financial difficulties","Sickness;Death;Accident;Housing/Property","Got a slipped disc unexpectedly and got covered from insurance luckily.","Yes","No","NIL","NIL","Nil"
"2021/01/13 6:07:44 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance","Parents","No","","","Family member(s) have already bought it for you","Death;Accident;Pandemic;Disability","Monetary","Yes","Yes","Life Insurance;Health Insurance","Yes","Nil"
"2021/01/13 6:10:58 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","Yes","For investment purposes","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Travel;Housing/Property","it has helped my family as the insurance manage to cover the hospitalisation costs","Yes","Yes","Health Insurance","Yes","Did not read much about their policies so I'm unable to answer this question"
"2021/01/13 6:16:39 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Death","NA","Yes","No","NIL","NIL","NIL"
"2021/01/13 6:18:00 pm GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Health Insurance","Parents","Yes","For future precautions","Affordability;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Disability","Car accident ","Yes","No","NIL","NIL","Na"
"2021/01/13 6:22:34 pm GMT+8","22 to 36 years old","Student ","$25,000 and below","Yes","Life Insurance;Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Losing money while travelling ","Yes","No","NIL","NIL","Targeted at youth"
"2021/01/13 6:26:00 pm GMT+8","22 to 36 years old","Student","No income","Yes","Not sure","Parents","No","","","Family member(s) have already bought it for you","Housing/Property","When I die D:","Yes","Not sure","NIL","Yes","It's cool"
"2021/01/13 6:33:13 pm GMT+8","22 to 36 years old","Student","No income","Yes","Savings Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","If I suddenly get into an accident tomorrow, or if I caught some hereditary illness from my parents","Yes","Yes","Savings Insurance","No","I just hope their customer service can improve instead of just telling us ""can't claim because can't claim."""
"2021/01/13 6:33:56 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance","Parents","No","","","Family member(s) have already bought it for you","Sickness;Accident;Travel;Pandemic;Fraud;Housing/Property","It was good to have the insurance when I went travelling last time ","Yes","No","NIL","NIL","Never bought from them before so I don't really know, sorry! "
"2021/01/13 6:36:17 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance;Not sure","Parents","No","","","Financial difficulties;Lack of information;Unnecessary;Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Haven't claimed from an insurance agency before!!! ","Yes","No","NIL","NIL","Not sure what they offer "
"2021/01/13 6:39:45 pm GMT+8","22 to 36 years old","Student","$25,000 and below","No","NIL","NIL","No","","","Financial difficulties;Lack of information","Sickness;Accident;Housing/Property","haven’t experienced yet so far","Yes","Yes","Savings Insurance","No","just bought so not sure yet"
"2021/01/13 6:42:57 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance;Savings Insurance","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Health or accident","Yes","No","NIL","NIL","Nil"
"2021/01/13 6:52:15 pm GMT+8","22 to 36 years old","student","No income","Yes","Not sure","Parents","No","","","Family member(s) have already bought it for you;no idea how it works","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property;Natural disaster like tsunamis","if tsunami strikes or if we all take the vaccine and become zombies","Yes","Not sure","Not sure","NIL","not sure"
"2021/01/13 6:52:54 pm GMT+8","22 to 36 years old","Student Teacher","$25,001 to $50,000","Yes","Life Insurance;Health Insurance;Investment Insurance;Savings Insurance","Myself;Parents","No","","","Unnecessary;Family member(s) have already bought it for you","Disability;Housing/Property","It had helped to pay my bills for ACL reconstruction ($40,000 ish)","Yes","Yes","Health Insurance;Savings Insurance","No","Agent quality, following up, transparency, honesty."
"2021/01/13 6:55:29 pm GMT+8","21 years old and under","student","$25,000 and below","Yes","Health Insurance","school","Yes","For future precautions","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Accident;Disability","get hit by a car","Yes","No","NIL","NIL","NA"
"2021/01/13 6:56:06 pm GMT+8","21 years old and under","Student","$25,000 and below","Yes","Life Insurance","Myself","No","","","I have one","Death;Accident","-","Yes","No","NIL","NIL","-"
"2021/01/13 7:00:44 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance","Myself;Parents","Yes","For future precautions","Affordability;Coverage;Clarity of policy","","Sickness;Death;Accident;Travel;Housing/Property","Items lost while travelling. House on fire or robbed. Road accident. ","Yes","No","NIL","Yes","Nil"
"2021/01/13 7:05:36 pm GMT+8","22 to 36 years old","Student","No income","No","NIL","NIL","Yes","For future precautions","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Housing/Property","When you get into an accident when you're overseas","Yes","No","NIL","NIL","NIL"
"2021/01/13 7:15:02 pm GMT+8","21 years old and under","NSF","No income","No","NIL","NIL","No","","","Lack of information;Unnecessary","Accident;Travel;Pandemic","Medicinal fees for accidental injury in work or life","Yes","Not sure","NIL","NIL","Not sure but most people would gravitate towards a cheaper insurance I think"
"2021/01/13 7:19:01 pm GMT+8","22 to 36 years old","Student","No income","No","NIL","NIL","No","","","Lack of information;Unnecessary","Travel;Fraud;Housing/Property","Getting robbed overseas, if my credit card gets stolen, online scam","Yes","No","NIL","NIL","Nil"
"2021/01/13 7:28:10 pm GMT+8","22 to 36 years old","Studeny","No income","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Lost my phone in thailand. The insurance company paid some money to me.","Yes","Not sure","NIL","NIL","Na"
"2021/01/13 7:33:18 pm GMT+8","21 years old and under","Student","No income","No","NIL","NIL","No","","","Currently not looking to buy insurance. Planning to in the future though","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Sustaining injury while working","Yes","No","NIL","NIL","Not sure about Prudential policies"
"2021/01/13 7:53:15 pm GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Life Insurance;Not sure","Parents","No","","","Family member(s) have already bought it for you","Sickness;Death;Accident;Travel","Health","Yes","No","NIL","NIL","NIL"
"2021/01/13 7:54:05 pm GMT+8","22 to 36 years old","Student ","No income","Yes","Life Insurance","Myself;Parents","No","","","Financial difficulties;Better ROI myself ","Sickness;Accident;Travel;Fraud;Disability;Housing/Property","Disabled or
Critical illness ","Yes","No","NIL","NIL","Prudential sucks"
"2021/01/13 7:57:11 pm GMT+8","22 to 36 years old","Developer","$25,001 to $50,000","Yes","Life Insurance;Health Insurance","Myself","Yes","For investment purposes","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property;I mean I hope for everything my money can give me","Went to hosp after going ham on chir chir chicken, not fun","Yes","No","NIL","NIL","Maybe some term savings plans? Idk"
"2021/01/13 8:25:36 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance;Investment Insurance","Parents","No","","","Family member(s) have already bought it for you","Sickness;Accident;Disability;Housing/Property","Travel insurance has helped me on a trip to Japan where I missed a connecting flight. The policy allowed me to make a claim. I think having insurance wood also help me in further situations such as this.","Yes","No","NIL","Yes","Not much impression and understanding of Prudential policies"
"2021/01/13 9:05:30 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance","School. Smu buys for everyone each year.","No","","","Financial difficulties;Lack of information;Unnecessary","Death;Fraud;Housing/Property","Dropping out of uni and havinv to pay back in full one shot was painful.","Yes","Yes","Health Insurance","No","Instead of policies. Change the snakes in the industry."
"2021/01/13 9:56:18 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Travel;Pandemic;Fraud;Disability;Housing/Property","Maybe suddenly having covid in this context","Yes","No","NIL","NIL","I think is just normal"
"2021/01/13 10:01:45 pm GMT+8","22 to 36 years old","student","$25,000 and below","Yes","Life Insurance;Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Death;Accident;Pandemic","Surgery","Yes","No","NIL","","nil"
"2021/01/13 10:36:51 pm GMT+8","22 to 36 years old","student ","No income","Yes","Not sure","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Disability;Housing/Property","when I fall sick ","Yes","Not sure","Not sure","NIL","-"
"2021/01/13 11:12:24 pm GMT+8","21 years old and under","Student","No income","Yes","Investment Insurance;Savings Insurance","Parents","No","","","Unnecessary;Family member(s) have already bought it for you","Travel;Pandemic;Housing/Property","My breast surgery was covered","Yes","Not sure","NIL","NIL","Idk"
"2021/01/14 12:23:53 am GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance;Not sure","Parents","No","","","Family member(s) have already bought it for you","Pandemic","Injury","Yes","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance;Not sure","Yes","-"
"2021/01/14 12:24:30 am GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Life Insurance;Savings Insurance","Myself;Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Accident;Disability","Making a claim for hospitalization bill","Yes","Yes","Life Insurance","NIL","Haven’t been reading up on their policy. "
"2021/01/14 8:08:37 am GMT+8","22 to 36 years old","Student ","$25,000 and below","Yes","Life Insurance;Savings Insurance","Myself","Yes","For investment purposes;For future precautions","Affordability;Coverage;Customer Service","","Sickness;Death;Accident","Critical illness ","Yes","Yes","Life Insurance","Yes","So far so good "
"2021/01/14 12:44:13 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Losing my job during a pandemic","Yes","No","NIL","NIL","NIL"
"2021/01/14 12:49:57 pm GMT+8","21 years old and under","Student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance;Savings Insurance","Parents","No","","","Family member(s) have already bought it for you;Mom is an insurance agent","Pandemic;Fraud;Disability;Housing/Property;Crime, Damaged products (Laptops, Gaming consoles etc)","Fractured my arm, fee for consultation was SGD150, payout from insurance was SGD500 hehe","Yes","No","NIL","NIL","-"
"2021/01/14 7:08:07 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance","Parents","No","","","Lack of information;Unnecessary;Family member(s) have already bought it for you","Sickness;Travel;Fraud;Housing/Property;Investment :D","No. In fact, I feel that the travel insurance I bought last time was a waste of money cos my claim was unsuccessful. I feel that insurance companies come up with a lot of excuses not to cover you when you actually try to claim.","Yes","No","NIL","NIL","Not sure as I am not familiar with them."
"2021/01/14 7:34:34 pm GMT+8","21 years old and under","student","No income","Yes","Not sure","Parents","No","","","Family member(s) have already bought it for you","Sickness;Death;Accident;Fraud;Disability;Housing/Property","get into an accident or a terminal illnes","Yes","Not sure","Not sure","NIL","nil"
"2021/01/15 8:18:35 am GMT+8","21 years old and under","Legal Executive","$25,000 and below","Yes","Health Insurance","Parents","No","","","Lack of information","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","When I got hospitalised suddenly.","Yes","Not sure","NIL","NIL","I haven’t bought from Prudential so I can’t answer this"
"2021/01/15 10:25:19 am GMT+8","22 to 36 years old","","No income","Yes","Not sure","Myself;Parents;Brother ","No","","","Financial difficulties;Lack of information;Unnecessary;Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","natural disaster","Yes","No","NIL","","NIL"
"2021/01/15 10:55:45 am GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Savings Insurance","Myself;Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","If i get into an accident, My medical bills can be partially covered by my insurance. ","Yes","Yes","Health Insurance;Savings Insurance","Yes","nil"
"2021/01/15 11:01:40 am GMT+8","22 to 36 years old","student","No income","No","NIL","NIL","No","","","Financial difficulties;Lack of information","Sickness;Accident;Travel;Pandemic","safety net ","Yes","No","NIL","NIL","nil"
