"Timestamp","Which one of the following represents your age?","Occupation","Which one of the following best represents your annual personal income?","Are you currently covered by an insurance policy?","If your answer to the above is 'Yes', what is the type of policy you have purchased? If your answer to the above is 'No', select NIL.","If you are currently covered by an insurance, who purchased the insurance policy for you? Select 'NIL' if you are not covered under any insurance policy.","Would you be interested in getting an/another insurance policy?","Why are you interested in purchasing an insurance policy?","What do you look out for when buying an insurance?","What is stopping you from buying an insurance policy?","What are some areas of coverage you hope to have in your future insurance policy? You can be creative :D","Describe a situation in which having an insurance would have helped you.","Have you heard of Prudential?","Do you currently have a policy under Prudential?","If you chose ""Yes"" above, select the type of policies that you have purchased under Prudential. Else, select ""NIL""","If you have bought an insurance from Prudential before, would you buy a policy from them again? Select 'NIL' if you have never bought an insurance from Prudential.","What do you think of their policies and any improvements/suggestions you hope to see from Prudential?"
"2021/01/28 11:19:12 am GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance","Parents","Yes","For investment purposes","Affordability;Coverage;Clarity of policy","","Sickness;Death;Accident;savings/investment-related","I was previously down with appendicitis and had to stay in the hospital for surgery. Thanks to the health insurance that my parents bought for me, I was able to stay in a single bed ward and was able to request for a consultant (doctor) to perform the surgery. The overall expenses incurred were all claimable from the insurance package that my parents bought. If not for the insurance, I would not have a comfortable stay at the hospital and my parents have to worry about the financial costs of the surgery. ","Yes","Not sure","NIL","NIL","NIL"
"2021/02/01 5:59:44 pm GMT+8","22 to 36 years old","Student ","No income","Yes","Health Insurance;Not sure","Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Accident ","Yes","No","NIL","NIL","NIL"
"2021/02/01 6:54:43 pm GMT+8","22 to 36 years old","cleaner","$25,000 and below","No","NIL","NIL","Yes","For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property"," ","Yes","No","NIL","NIL"," "
"2021/02/01 7:37:26 pm GMT+8","22 to 36 years old","Real Estate agent ","$50,001 to $100,000","Yes","Health Insurance","Myself","No","","","Unnecessary","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Travel insurance ","Yes","No","NIL","No","None"
"2021/02/02 1:54:19 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Sickness;Death;Accident;Travel;Disability;Housing/Property","NA","Yes","Yes","Personal Accident Insurance","No","Prudential is a company that most people sign up with the earn quick cash. They sell insurance and get out of the industry in a few years. So maybe they should focus on hiring agents who retain their relationship with their insurance clients long term"
"2021/02/02 2:05:26 pm GMT+8","21 years old and under","Student","No income","Yes","Health Insurance;Travel Insurance","School","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Accident;Travel;Fraud;Housing/Property","Hitting someone or their cars on the road","Yes","Not sure","Life Insurance","NIL","NA"
"2021/02/02 3:20:24 pm GMT+8","22 to 36 years old","ascd","$25,001 to $50,000","Yes","Life Insurance;Health Insurance","Myself","Yes","For future precautions","Affordability","","Travel","ascacsa","No","No","Life Insurance","No","scacasacxssssssssssssss"
"2021/02/07 3:40:47 pm GMT+8","21 years old and under","Student","No income","No","NIL","NIL","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Accident;Travel;Pandemic","It was 2 years ago when my family went to Australia for holiday. We rented a vehicle for us to move between places. I remember the incident occurs in the evening time where the visibility was not as good as compared to the daytime. While we were driving to our destination, our vehicle knocks onto a kangaroo which resulted in some dent and cracks at the front of the vehicle. Luckily we bought insurance beforehand and this benefited us as we do not have to fork out thousands of dollars. ","Yes","Not sure","NIL","NIL","I do not know much about insurance and what they are. As I am lazy to read up, maybe Prudential could find some ways to reach out like school talk or something."
"2021/02/07 4:00:03 pm GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance","Parents","Yes","For investment purposes","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Pandemic;Fraud","So far I haven't claim anything from my insurance company yet but I guess knowing that I'm insured for whatever that may happen to me in the future had helped me to pursue my interest and hobbies. ","Yes","Yes","Life Insurance;Health Insurance","Yes","To have cheaper alternatives for all policies from life, health to travel and investment would increase the chance of us buying. As I am still a student, I do not have a monthly income so it is hard for me to pay for the monthly premiums. "
"2021/02/07 4:19:25 pm GMT+8","22 to 36 years old","Student","No income","Yes","Not sure","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Pandemic;Fraud;Disability","Since young, my parent bought for me a saving plan which they have to give a monthly payment for around15 or 20 years but I cannot remember the exact years. At the end of the saving plan, I am able to received a lump sum of money. This lump sum of money will be used to pay off my university loan when I graduate.","Yes","No","NIL","NIL","The Prudential Marina Bay Carnival! I really enjoy the experience there! I guess one suggestion could be finding ways to integrate insurance and the games over at the carnival."
"2021/02/07 4:47:20 pm GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Not sure","Parents","Yes","For investment purposes","Affordability;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Death;Pandemic;Fraud","A situation where it is not expected such as natural disaster or pandemic outbreak. ","Yes","Yes","Life Insurance","Yes","Better Agents, Better Service"
"2021/02/07 5:16:15 pm GMT+8","22 to 36 years old","Manager","$50,001 to $100,000","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Investment Insurance;Savings Insurance","Myself;Parents","No","","","Unnecessary","Travel;Pandemic;Fraud","Buying a savings plan in the early 20 really help me in my financial. The sum I will be getting will help me to reduce my children monthly expense such as tuition fee in the future.","Yes","No","NIL","No","The prudential marina bay event was really a good way to promote Prudential's branding. My whole family really enjoy it and looking forward for the next carnival. But to be honest, is was kind of pricey. "
"2021/02/07 5:46:54 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Lack of information;Unnecessary;Family member(s) have already bought it for you","Pandemic;Fraud","Sudden flight cancellation due to pandemic","Yes","Yes","Life Insurance;Investment Insurance;Savings Insurance","Yes","More targeted towards young people"
"2021/02/07 5:48:49 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Housing/Property","If i suddenly get diagnosed with cancer, can help me for my surgery fees","Yes","Not sure","NIL","NIL","Expensive. Maybe can have different tiers for different income level."
"2021/02/07 5:50:42 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Fraud","Maybe when I go online shopping but my goods do not arrive ","Yes","Not sure","Not sure","NIL","Maybe more roadshows to tell me what policies they have. I have no idea what policies they have and what are the coverage. Some of the terms are also very technical which I do not understand. Need someone to explain to me."
"2021/02/07 10:48:56 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Pandemic (Covid)","When a pandemic like covid-19 strikes again, it would be really useful if I were to lose my job","Yes","Not sure","Not sure","NIL","- "
"2021/02/07 10:57:31 pm GMT+8","21 years old and under","student","No income","Yes","Life Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Fraud","Fraud for bank transactions","Yes","Yes","Life Insurance;Health Insurance","No","To have cheaper premiums"
"2021/02/07 10:59:41 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Unnecessary;Family member(s) have already bought it for you","Pandemic;Cybersecurity ","It would be useful if my bank account were to get hacked","Yes","No","NIL","NIL","NIL"
"2021/02/07 11:01:59 pm GMT+8","22 to 36 years old","student","No income","No","NIL","NIL","No","","","Financial difficulties;Unnecessary","Pandemic","Covid situation that is happening now","Yes","No","NIL","NIL","NIL"
"2021/02/07 11:03:42 pm GMT+8","22 to 36 years old","Technical Officer","$25,001 to $50,000","Yes","Life Insurance;Health Insurance;Savings Insurance","Myself","Yes","For investment purposes;For future precautions","Affordability;Coverage","","Accident","-","Yes","No","NIL","NIL","NIL"
"2021/02/07 11:06:17 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance","Parents","No","","","Family member(s) have already bought it for you","Travel;Pandemic","-","Yes","Yes","Health Insurance","Yes","Its coverage is comprehensive"
"2021/02/08 5:18:23 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance","Parents","No","","","Family member(s) have already bought it for you","Pandemic;Housing/Property","Accidents","Yes","Yes","Life Insurance","No","I do not really know much of their insurance because i do not buy them myself. Maybe they can post on their social media some key points of their policies so that i can understand their policies better"
"2021/02/08 5:19:38 pm GMT+8","21 years old and under","student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance","Parents","No","","","Lack of information;Family member(s) have already bought it for you","Fraud","Pickpocket","Yes","Not sure","Not sure","No","Expensive for me as a student. Maybe can have monthly subscription plans"
"2021/02/08 5:21:29 pm GMT+8","21 years old and under","student","No income","Yes","Life Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Pandemic;Fraud;Housing/Property","If i lose an asset that is expensive eg. gold","Yes","Yes","Life Insurance","No","Have more categories and types of insurance for different age groups"
"2021/02/08 7:06:21 pm GMT+8","21 years old and under","student","No income","No","NIL","NIL","No","","","Lack of information","Pandemic;Fraud","covid","Yes","No","NIL","NIL","-"
"2021/02/08 7:09:05 pm GMT+8","22 to 36 years old","Student","No income","Yes","Investment Insurance","Myself","Yes","For investment purposes","Affordability;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Pandemic","Definitely a pandemic. Many people lose their jobs in this difficult time","Yes","Yes","Investment Insurance","Yes","-"
"2021/02/08 7:11:30 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","No","","","Unnecessary","Fraud","In this cyberworld, frauds might be a problem.","Yes","Not sure","Not sure","NIL","-"
"2021/02/08 7:13:03 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Financial difficulties;Lack of information","Fraud;Housing/Property","-","Yes","No","NIL","NIL","-"
"2021/02/08 7:14:15 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Savings Insurance","Parents","No","","","Unnecessary","Travel","When covid subsides and the borders are open, it might be useful","Yes","No","NIL","NIL","-"
"2021/02/08 7:18:38 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Unnecessary","Fraud","-","Yes","No","NIL","NIL","-"
"2021/02/08 7:41:58 pm GMT+8","21 years old and under","Student","$25,000 and below","Yes","Life Insurance;Health Insurance;Savings Insurance","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Micro insurance ","Covid","Yes","No","NIL","NIL","Offer travel insurance? "
"2021/02/08 7:42:57 pm GMT+8","21 years old and under","Student","No income","Yes","Life Insurance","Myself","Yes","For investment purposes","Affordability;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Pandemic;Fraud","Being scammed","Yes","No","NIL","NIL","Have more types"
"2021/02/08 7:44:52 pm GMT+8","21 years old and under","Student","$25,000 and below","Yes","Life Insurance;Motor/Vehicle Insurance;Travel Insurance;Savings Insurance","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Accident;Fraud;Housing/Property","Covid-19 ","Yes","No","NIL","NIL","Cheaper prices "
"2021/02/08 7:46:16 pm GMT+8","21 years old and under","Business student","$25,000 and below","Yes","Life Insurance;Health Insurance;Travel Insurance;Savings Insurance","Myself;Parents","Yes","For investment purposes","Affordability;Coverage;Multi policy discounts;Convenience (eg. easy to buy, easy to claim)","","Investments, Everyday insurance","Investment ","Yes","No","NIL","No","Investment insurance "
"2021/02/08 7:51:52 pm GMT+8","21 years old and under","Part time student","$25,000 and below","Yes","Life Insurance;Health Insurance","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Clarity of policy","","Pandemic;Fraud;Disability","Losing my card","Yes","No","NIL","NIL","Offer different and unique products"
"2021/02/09 7:59:45 am GMT+8","21 years old and under","student","No income","Yes","Life Insurance;Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Telco","If my wifi gets disrupted, I can claim the money used for 4G","Yes","Yes","Life Insurance","Yes","They do not stand out. Maybe do more promotions."
"2021/02/09 8:01:54 am GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Pandemic;Fraud;Housing/Property","When I go travelling, then all my plans are disrupted because of pandemic","Yes","Yes","Life Insurance","No","No attractive benefits for young people like me"
"2021/02/09 8:05:27 am GMT+8","22 to 36 years old","Student","No income","No","NIL","NIL","No","","","Lack of information","Travel;Pandemic;Fraud","If I have bought all my overseas tickets including flights, then everything gets cancelled because of pandemic or natural disasters.","Yes","No","NIL","NIL","More variety of policies to choose from instead of the usual normal ones. NTUC Income has alot more. They have something for Grab. Eg. You buy a policy when you think it is going to rain on a certain day and if it really rains, NTUC will pay for your grab ride expenses. This is really interesting and also beneficial because there are a lot of grab users out there"
"2021/02/09 8:07:42 am GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance","Parents","No","","","Unnecessary;Family member(s) have already bought it for you","Fraud","E-commerce shopping fraud","Yes","Yes","Life Insurance","No","I don’t know much about their policies. Maybe more marketing by then on social media."
"2021/02/09 8:09:21 am GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Job security","If I lose my job because of pandemic","Yes","Not sure","Not sure","NIL","Do more online marketing instead of road shows especially during this pandemic. "
"2021/02/09 8:41:54 pm GMT+8","21 years old and under","student","No income","Yes","Health Insurance","Parents","No","","","Unnecessary;Family member(s) have already bought it for you","Travel","When travelling overseas, if trips got cancelled due to unforeseen events, can claim from insurance","Yes","No","NIL","NIL","Ease of search for information about their policies online"
"2021/02/09 8:45:15 pm GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance;Health Insurance;Investment Insurance","Myself;Parents","No","","","Unnecessary","Travel;Fraud;Housing/Property","Can claim medical fees when seeing doctor","Yes","Yes","Life Insurance;Health Insurance","Yes","Not sure"
"2021/02/09 8:55:47 pm GMT+8","21 years old and under","student","No income","Yes","Health Insurance","Parents","Yes","For future precautions","Affordability;Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Fraud;Telco","fraudulent bank transactions
telco outages","Yes","No","NIL","NIL","-"
"2021/02/09 8:57:18 pm GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Life Insurance;Health Insurance","Myself","Yes","For investment purposes","Coverage;Customer Service;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Pandemic","When a pandemic like covid strikes again","Yes","No","NIL","NIL","-"
"2021/02/09 10:23:26 pm GMT+8","21 years old and under","IS Student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance","Parents","Yes","For investment purposes","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim)","","Pandemic;Fraud;Public transport breakdowns","Public transport breakdowns","Yes","No","NIL","NIL","Public transport breakdown insurance"
"2021/02/09 10:30:10 pm GMT+8","22 to 36 years old","Part Time student","$25,000 and below","No","NIL","NIL","No","","","Lack of information;Unnecessary","Housing/Property","mrt break down ","Yes","Not sure","NIL","NIL","Micro insurance"
"2021/02/09 10:30:47 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Accident;Pandemic;Fraud","in times of a pandemic","Yes","Not sure","Not sure","NIL","-"
"2021/02/09 10:32:49 pm GMT+8","22 to 36 years old","student","No income","No","NIL","NIL","No","","","Unnecessary","Accident","-","Yes","No","NIL","NIL","-"
"2021/02/09 10:34:58 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance;Travel Insurance;Investment Insurance","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim)","","Death;Accident;Fraud;Disability;Housing/Property","Lost my passport and wallet overseas, travel insurance would have helped loads","Yes","No","NIL","NIL","Less pushy"
"2021/02/09 10:36:15 pm GMT+8","21 years old and under","Student","No income","Yes","Health Insurance;Travel Insurance;Investment Insurance","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Sickness;Death;Travel","I fell and broke my arm and medical insurance would have helped lots","Yes","No","NIL","NIL","Not sure"
"2021/02/09 10:37:55 pm GMT+8","22 to 36 years old","accounting student","$25,000 and below","Yes","Life Insurance;Health Insurance","Parents","Yes","For future precautions","Affordability;Coverage","","Sickness","innvestment insurance","Yes","Yes","Life Insurance;Savings Insurance","No","Nil"
"2021/02/09 10:37:57 pm GMT+8","22 to 36 years old","it student","No income","No","NIL","NIL","No","","","Family member(s) have already bought it for you","Pandemic","data breach insurance","Yes","Not sure","NIL","NIL","more engaging"
"2021/02/09 10:37:59 pm GMT+8","22 to 36 years old","law student","$25,000 and below","Yes","Life Insurance","Parents","Yes","Peer/family pressure","Coverage;Customer Service;Clarity of policy","","Housing/Property","public transport insurance","Yes","Yes","Life Insurance;Health Insurance","Yes","Nil"
"2021/02/09 10:38:00 pm GMT+8","22 to 36 years old","is student","No income","No","NIL","NIL","No","","","Lack of information","Death","bite sized insurance","Yes","Not sure","NIL","NIL","more interaction with customer"
"2021/02/09 10:38:02 pm GMT+8","22 to 36 years old","student","No income","No","NIL","NIL","No","","","Financial difficulties","Accident","insurance to cover fraud","Yes","Not sure","NIL","NIL","Nil"
"2021/02/09 10:40:26 pm GMT+8","22 to 36 years old","Salesperson","$25,001 to $50,000","Yes","Motor/Vehicle Insurance;Health Insurance;Travel Insurance","Myself;Parents","Yes","For future precautions","Affordability;Coverage;Multi policy discounts;Convenience (eg. easy to buy, easy to claim)","","Sickness;Death;Pandemic;Housing/Property","Got into a car accident recently, and luckily I was covered by my insurance","Yes","No","NIL","NIL","Be more professional"
"2021/02/09 11:06:35 pm GMT+8","21 years old and under","Student","No income","No","NIL","NIL","Yes","For investment purposes;For future precautions","Affordability;Coverage;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Caught in a big accident that cripples me","Yes","No","NIL","NIL","Not sure"
"2021/02/09 11:09:42 pm GMT+8","22 to 36 years old","Accountant","$25,001 to $50,000","Yes","Life Insurance;Health Insurance;Savings Insurance","Parents","No","","","Financial difficulties","Sickness;Death;Travel;Pandemic;Fraud;Disability;Housing/Property","If an accident crippled me, insurance would help me pay my bills","Yes","No","NIL","NIL","I think they're good but they need to be more informative "
"2021/02/10 9:03:02 am GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance","Parents","Yes","For investment purposes;For future precautions;Peer/family pressure","Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","I lost my Gucci wallet while overseas along with my Hermes handbag, without travel insurance, my parents would have killed me","Yes","No","NIL","NIL","Needs to appeal to the wealthier customers"
"2021/02/10 10:21:12 am GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance","Myself","No","","","Financial difficulties;Lack of information","Death;Pandemic;Fraud;Housing/Property","Getting into a car accident would help cover my costs","Yes","Not sure","NIL","NIL","I think they're quite good, but I need more information"
"2021/02/10 10:47:23 am GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance","Parents","No","","","Family member(s) have already bought it for you","Pandemic;Wealth","Pandemic like COVID-19, can cover for my hospitalization and swab test fees","Yes","No","NIL","No","More targeted in terms of customer segments and not just ordinary policies that can be offered to everyone"