ILP_Opinions,lemmatised_content,tokenized_content,remove_stopwords_content,remove_shortwords_content,pos_tag_content,final_content
risky,risky,['risky'],['risky'],['risky'],['risky'],risky
would like to know more,would like to know more,"['would', 'like', 'to', 'know', 'more']","['would', 'like', 'know']","['would', 'like', 'know']",[],
i dont know ,i do not know,"['i', 'do', 'not', 'know']",['know'],['know'],[],
just another insurance scheme,just another insurance scheme,"['just', 'another', 'insurance', 'scheme']","['another', 'insurance', 'scheme']","['another', 'insurance', 'scheme']","['insurance', 'scheme']",insurance scheme
no idea,no idea,"['no', 'idea']",['idea'],['idea'],['idea'],idea
idk anything,idk anything,"['idk', 'anything']","['idk', 'anything']","['idk', 'anything']","['idk', 'anything']",idk anything
help to earn money through lifelong investment,help to earn money through lifelong investment,"['help', 'to', 'earn', 'money', 'through', 'lifelong', 'investment']","['help', 'earn', 'money', 'lifelong', 'investment']","['help', 'earn', 'money', 'lifelong', 'investment']","['help', 'money', 'lifelong', 'investment']",help money lifelong investment
good,good,['good'],['good'],['good'],['good'],good
dont really understand unless someone explains it in layman terms,do not really understand unless someone explain  in layman term,"['do', 'not', 'really', 'understand', 'unless', 'someone', 'explain', 'in', 'layman', 'term']","['really', 'understand', 'unless', 'someone', 'explain', 'layman', 'term']","['really', 'understand', 'unless', 'someone', 'explain', 'layman', 'term']","['understand', 'layman', 'someone', 'explain', 'term']",understand layman someone explain term
i honestly dont know ,i honestly do not know,"['i', 'honestly', 'do', 'not', 'know']","['honestly', 'know']","['honestly', 'know']",[],
i think it more suitable for people who are investing for a long term however it has a lot of unforeseeable fees that you might not be aware of when you first start investing ,i think  more suitable for people who be invest for a long term however  have a lot of unforeseeable fee that  may not be aware of when  first start invest,"['i', 'think', 'more', 'suitable', 'for', 'people', 'who', 'be', 'invest', 'for', 'a', 'long', 'term', 'however', 'have', 'a', 'lot', 'of', 'unforeseeable', 'fee', 'that', 'may', 'not', 'be', 'aware', 'of', 'when', 'first', 'start', 'invest']","['think', 'suitable', 'people', 'invest', 'long', 'term', 'however', 'lot', 'unforeseeable', 'fee', 'may', 'aware', 'first', 'start', 'invest']","['think', 'suitable', 'people', 'invest', 'long', 'term', 'however', 'lot', 'unforeseeable', 'fee', 'may', 'aware', 'first', 'start', 'invest']","['suitable', 'long', 'unforeseeable', 'first', 'people', 'term', 'fee', 'start']",suitable long unforeseeable first people term fee start
not attractive now but possible for retirement plan,not attractive now but possible for retirement plan,"['not', 'attractive', 'now', 'but', 'possible', 'for', 'retirement', 'plan']","['attractive', 'possible', 'retirement', 'plan']","['attractive', 'possible', 'retirement', 'plan']","['attractive', 'possible', 'retirement', 'plan']",attractive possible retirement plan
its really good for people for employees who dont want to take time out to invest by themselves can use ilps to have both insurance coverage and invest at the same time  convenience  professional help , really good for people for employee who do not want to take time out to invest by  can use ilp to have both insurance coverage and invest at the same time   convenience   professional help,"['really', 'good', 'for', 'people', 'for', 'employee', 'who', 'do', 'not', 'want', 'to', 'take', 'time', 'out', 'to', 'invest', 'by', 'can', 'use', 'ilp', 'to', 'have', 'both', 'insurance', 'coverage', 'and', 'invest', 'at', 'the', 'same', 'time', 'convenience', 'professional', 'help']","['really', 'good', 'people', 'employee', 'want', 'take', 'time', 'invest', 'use', 'ilp', 'insurance', 'coverage', 'invest', 'time', 'convenience', 'professional', 'help']","['really', 'good', 'people', 'employee', 'want', 'take', 'time', 'invest', 'use', 'ilp', 'insurance', 'coverage', 'invest', 'time', 'convenience', 'professional', 'help']","['good', 'ilp', 'invest', 'professional', 'people', 'employee', 'take', 'time', 'use', 'insurance', 'coverage', 'time', 'convenience', 'help']",good ilp invest professional people employee take time use insurance coverage time convenience help
important to get ,important to get,"['important', 'to', 'get']","['important', 'get']","['important', 'get']",['important'],important
good if you have money to invest,good if  have money to invest,"['good', 'if', 'have', 'money', 'to', 'invest']","['good', 'money', 'invest']","['good', 'money', 'invest']","['good', 'money', 'invest']",good money invest
a good investment if you know how to use them properly,a good investment if  know how to use  properly,"['a', 'good', 'investment', 'if', 'know', 'how', 'to', 'use', 'properly']","['good', 'investment', 'know', 'use', 'properly']","['good', 'investment', 'know', 'use', 'properly']","['good', 'properly', 'investment']",good properly investment
its complicated with a lot of terms and conditions, complicate with a lot of term and condition,"['complicate', 'with', 'a', 'lot', 'of', 'term', 'and', 'condition']","['complicate', 'lot', 'term', 'condition']","['complicate', 'lot', 'term', 'condition']","['complicate', 'lot', 'term', 'condition']",complicate lot term condition
sounds feasible would actually adopt it if convinced that there is a great plan thats functionable for me,sound feasible would actually adopt  if convinced that there be a great plan that s functionable for ,"['sound', 'feasible', 'would', 'actually', 'adopt', 'if', 'convinced', 'that', 'there', 'be', 'a', 'great', 'plan', 'that', 's', 'functionable', 'for']","['sound', 'feasible', 'would', 'actually', 'adopt', 'convinced', 'great', 'plan', 'functionable']","['sound', 'feasible', 'would', 'actually', 'adopt', 'convinced', 'great', 'plan', 'functionable']","['feasible', 'convinced', 'great', 'functionable', 'sound', 'plan']",feasible convinced great functionable sound plan
no idea ,no idea,"['no', 'idea']",['idea'],['idea'],['idea'],idea
no idea ,no idea,"['no', 'idea']",['idea'],['idea'],['idea'],idea
not much returns as compared to normal investments,not much return as compare to normal investment,"['not', 'much', 'return', 'as', 'compare', 'to', 'normal', 'investment']","['much', 'return', 'compare', 'normal', 'investment']","['much', 'return', 'compare', 'normal', 'investment']","['much', 'normal', 'return', 'investment']",much normal return investment
cool,cool,['cool'],['cool'],['cool'],['cool'],cool
bad,bad,['bad'],['bad'],['bad'],['bad'],bad
dont know enough to comment ,do not know enough to comment,"['do', 'not', 'know', 'enough', 'to', 'comment']","['know', 'enough', 'comment']","['know', 'enough', 'comment']","['enough', 'comment']",enough comment
too good to be true,too good to be true,"['too', 'good', 'to', 'be', 'true']","['good', 'true']","['good', 'true']","['good', 'true']",good true
only if you are sure of the returns then buy,only if  be sure of the return then buy,"['only', 'if', 'be', 'sure', 'of', 'the', 'return', 'then', 'buy']","['sure', 'return', 'buy']","['sure', 'return', 'buy']","['sure', 'return', 'buy']",sure return buy
lower risk as compared to investing in stocks and hence lower returns,low risk as compare to invest in stock and hence low return,"['low', 'risk', 'as', 'compare', 'to', 'invest', 'in', 'stock', 'and', 'hence', 'low', 'return']","['low', 'risk', 'compare', 'invest', 'stock', 'hence', 'low', 'return']","['low', 'risk', 'compare', 'invest', 'stock', 'hence', 'low', 'return']","['low', 'invest', 'low', 'risk', 'compare', 'stock', 'hence', 'return']",low invest low risk compare stock hence return
low returns,low return,"['low', 'return']","['low', 'return']","['low', 'return']","['low', 'return']",low return
low rates,low rate,"['low', 'rate']","['low', 'rate']","['low', 'rate']","['low', 'rate']",low rate
might include extra charges as compared to just investing on my own,may include extra charge as compare to just invest on  own,"['may', 'include', 'extra', 'charge', 'as', 'compare', 'to', 'just', 'invest', 'on', 'own']","['may', 'include', 'extra', 'charge', 'compare', 'invest']","['may', 'include', 'extra', 'charge', 'compare', 'invest']","['extra', 'charge', 'compare']",extra charge compare
complex to understand plans,complex to understand plan,"['complex', 'to', 'understand', 'plan']","['complex', 'understand', 'plan']","['complex', 'understand', 'plan']","['complex', 'understand', 'plan']",complex understand plan
heavy premium charges,heavy premium charge,"['heavy', 'premium', 'charge']","['heavy', 'premium', 'charge']","['heavy', 'premium', 'charge']","['heavy', 'premium', 'charge']",heavy premium charge
not that famous might be due to fees can make it more affordable for students,not that famous may be due to fee can make  more affordable for student,"['not', 'that', 'famous', 'may', 'be', 'due', 'to', 'fee', 'can', 'make', 'more', 'affordable', 'for', 'student']","['famous', 'may', 'due', 'fee', 'make', 'affordable', 'student']","['famous', 'may', 'due', 'fee', 'make', 'affordable', 'student']","['famous', 'due', 'affordable', 'fee', 'student']",famous due affordable fee student
a bit difficult to understand at first glance,a bit difficult to understand at first glance,"['a', 'bit', 'difficult', 'to', 'understand', 'at', 'first', 'glance']","['bit', 'difficult', 'understand', 'first', 'glance']","['bit', 'difficult', 'understand', 'first', 'glance']","['difficult', 'first', 'bit', 'glance']",difficult first bit glance
bad reputation as seen on hardwarezone,bad reputation as see on hardwarezone,"['bad', 'reputation', 'as', 'see', 'on', 'hardwarezone']","['bad', 'reputation', 'see', 'hardwarezone']","['bad', 'reputation', 'see', 'hardwarezone']","['bad', 'reputation', 'hardwarezone']",bad reputation hardwarezone
no reasonable returns,no reasonable return,"['no', 'reasonable', 'return']","['reasonable', 'return']","['reasonable', 'return']","['reasonable', 'return']",reasonable return
ilp lost their place in this era because we are in an exciting economy with robos lower transaction fees,ilp lose  place in this era because  be in an exciting economy with robos low transaction fee,"['ilp', 'lose', 'place', 'in', 'this', 'era', 'because', 'be', 'in', 'an', 'exciting', 'economy', 'with', 'robos', 'low', 'transaction', 'fee']","['ilp', 'lose', 'place', 'era', 'exciting', 'economy', 'robos', 'low', 'transaction', 'fee']","['ilp', 'lose', 'place', 'era', 'exciting', 'economy', 'robos', 'low', 'transaction', 'fee']","['lose', 'low', 'ilp', 'place', 'era', 'economy', 'transaction', 'fee']",lose low ilp place era economy transaction fee
might lose even more when market goes down,may lose even more when market go down,"['may', 'lose', 'even', 'more', 'when', 'market', 'go', 'down']","['may', 'lose', 'even', 'market', 'go']","['may', 'lose', 'even', 'market']",['market'],market
not sure if will feel restricted in terms of funds or if can cancel immediately,not sure if will feel restrict in term of fund or if can cancel immediately,"['not', 'sure', 'if', 'will', 'feel', 'restrict', 'in', 'term', 'of', 'fund', 'or', 'if', 'can', 'cancel', 'immediately']","['sure', 'feel', 'restrict', 'term', 'fund', 'cancel', 'immediately']","['sure', 'feel', 'restrict', 'term', 'fund', 'cancel', 'immediately']","['sure', 'restrict', 'term', 'fund', 'cancel']",sure restrict term fund cancel
not that widely advertised,not that widely advertise,"['not', 'that', 'widely', 'advertise']","['widely', 'advertise']","['widely', 'advertise']",['advertise'],advertise
for lazy people like me,for lazy people like ,"['for', 'lazy', 'people', 'like']","['lazy', 'people', 'like']","['lazy', 'people', 'like']","['lazy', 'people']",lazy people
hidden costs,hide cost,"['hide', 'cost']","['hide', 'cost']","['hide', 'cost']","['hide', 'cost']",hide cost
need greater clarification with the agent offering or an external party for the interested party to full understand his benefits and guaranteed returns,need great clarification with the agent offering or an external party for the interested party to full understand  benefit and guarantee return,"['need', 'great', 'clarification', 'with', 'the', 'agent', 'offering', 'or', 'an', 'external', 'party', 'for', 'the', 'interested', 'party', 'to', 'full', 'understand', 'benefit', 'and', 'guarantee', 'return']","['need', 'great', 'clarification', 'agent', 'offering', 'external', 'party', 'interested', 'party', 'full', 'understand', 'benefit', 'guarantee', 'return']","['need', 'great', 'clarification', 'agent', 'offering', 'external', 'party', 'interested', 'party', 'full', 'understand', 'benefit', 'guarantee', 'return']","['great', 'external', 'interested', 'full', 'clarification', 'agent', 'party', 'party', 'understand', 'benefit', 'guarantee', 'return']",great external interested full clarification agent party party understand benefit guarantee return
agents need to explain well if not i will lose interest,agent need to explain well if not i will lose interest,"['agent', 'need', 'to', 'explain', 'well', 'if', 'not', 'i', 'will', 'lose', 'interest']","['agent', 'need', 'explain', 'well', 'lose', 'interest']","['agent', 'need', 'explain', 'well', 'lose', 'interest']","['lose', 'agent', 'need', 'interest']",lose agent need interest
not very sure but seems pretty risky,not very sure but seem pretty risky,"['not', 'very', 'sure', 'but', 'seem', 'pretty', 'risky']","['sure', 'seem', 'pretty', 'risky']","['sure', 'seem', 'pretty', 'risky']","['sure', 'risky']",sure risky
very risky,very risky,"['very', 'risky']",['risky'],['risky'],['risky'],risky
seems expensive  risky,seem expensive   risky,"['seem', 'expensive', 'risky']","['seem', 'expensive', 'risky']","['seem', 'expensive', 'risky']","['expensive', 'risky']",expensive risky
seems like a good long term policy but expensive,seem like a good long term policy but expensive,"['seem', 'like', 'a', 'good', 'long', 'term', 'policy', 'but', 'expensive']","['seem', 'like', 'good', 'long', 'term', 'policy', 'expensive']","['seem', 'like', 'good', 'long', 'term', 'policy', 'expensive']","['good', 'long', 'seem', 'term', 'policy']",good long seem term policy
heard that it is expensive and risky,hear that  be expensive and risky,"['hear', 'that', 'be', 'expensive', 'and', 'risky']","['hear', 'expensive', 'risky']","['hear', 'expensive', 'risky']","['expensive', 'risky']",expensive risky
risky,risky,['risky'],['risky'],['risky'],['risky'],risky
not worth,not worth,"['not', 'worth']",['worth'],['worth'],['worth'],worth
long term investment that is slightly risky,long term investment that be slightly risky,"['long', 'term', 'investment', 'that', 'be', 'slightly', 'risky']","['long', 'term', 'investment', 'slightly', 'risky']","['long', 'term', 'investment', 'slightly', 'risky']","['long', 'risky', 'term', 'investment']",long risky term investment
expensive no guaranteed returns as well,expensive no guarantee return as well,"['expensive', 'no', 'guarantee', 'return', 'as', 'well']","['expensive', 'guarantee', 'return', 'well']","['expensive', 'guarantee', 'return', 'well']","['expensive', 'guarantee', 'return']",expensive guarantee return
had an impression that it will be expensive,have an impression that  will be expensive,"['have', 'an', 'impression', 'that', 'will', 'be', 'expensive']","['impression', 'expensive']","['impression', 'expensive']","['impression', 'expensive']",impression expensive
risky and foreign ,risky and foreign,"['risky', 'and', 'foreign']","['risky', 'foreign']","['risky', 'foreign']","['risky', 'foreign']",risky foreign
difficult to understand ,difficult to understand,"['difficult', 'to', 'understand']","['difficult', 'understand']","['difficult', 'understand']","['difficult', 'understand']",difficult understand
dangerous ,dangerous,['dangerous'],['dangerous'],['dangerous'],['dangerous'],dangerous
good for people who do not have the time to invest,good for people who do not have the time to invest,"['good', 'for', 'people', 'who', 'do', 'not', 'have', 'the', 'time', 'to', 'invest']","['good', 'people', 'time', 'invest']","['good', 'people', 'time', 'invest']","['good', 'people', 'time']",good people time
expensive,expensive,['expensive'],['expensive'],['expensive'],['expensive'],expensive
