Situation in which insurance will help you,lemmatised_content,tokenized_content,remove_stopwords_content,pos_tag_content,final_content
pandemic,pandemic,['pandemic'],['pandemic'],['pandemic'],pandemic
train breakdown then i need to take other modes of transport. insurance can pay me for the extra fees that i pay for cab/grab,train breakdown then i need to take other mode of transport . insurance can pay  for the extra fee that i pay for cab / grab,"['train', 'breakdown', 'then', 'i', 'need', 'to', 'take', 'other', 'mode', 'of', 'transport', 'insurance', 'can', 'pay', 'for', 'the', 'extra', 'fee', 'that', 'i', 'pay', 'for', 'cab', 'grab']","['train', 'breakdown', 'need', 'take', 'mode', 'transport', 'pay', 'extra', 'fee', 'pay', 'cab', 'grab']","['breakdown', 'mode', 'extra', 'train', 'transport', 'pay', 'fee', 'pay', 'cab', 'grab']",breakdown mode extra train transport pay fee pay cab grab
pandemic,pandemic,['pandemic'],['pandemic'],['pandemic'],pandemic
hospitalisation,hospitalisation,['hospitalisation'],['hospitalisation'],['hospitalisation'],hospitalisation
medical bills,medical bill,"['medical', 'bill']","['medical', 'bill']","['medical', 'bill']",medical bill
none do far,none do far,"['none', 'do', 'far']","['none', 'far']",['none'],none
like flight cancellation when taking planes and i think school has some insurance coverage. ,like flight cancellation when take plane and i think school have some insurance coverage .,"['like', 'flight', 'cancellation', 'when', 'take', 'plane', 'and', 'i', 'think', 'school', 'have', 'some', 'insurance', 'coverage']","['like', 'flight', 'cancellation', 'take', 'plane', 'think', 'school', 'coverage']","['flight', 'cancellation', 'plane', 'school', 'coverage']",flight cancellation plane school coverage
overseas accident where i could claim loss of items and medical fees.,overseas accident where i could claim loss of item and medical fee .,"['overseas', 'accident', 'where', 'i', 'could', 'claim', 'loss', 'of', 'item', 'and', 'medical', 'fee']","['overseas', 'accident', 'could', 'claim', 'loss', 'item', 'medical', 'fee']","['overseas', 'medical', 'accident', 'loss', 'item', 'fee']",overseas medical accident loss item fee
"when someone hits my vehicle, i'll sue until their pants drop but i have my own injuries covered too.","when someone hit  vehicle ,  will sue until  pant drop but i have  own injury cover too .","['when', 'someone', 'hit', 'vehicle', 'will', 'sue', 'until', 'pant', 'drop', 'but', 'i', 'have', 'own', 'injury', 'cover', 'too']","['someone', 'hit', 'vehicle', 'sue', 'pant', 'drop', 'injury', 'cover']","['pant', 'someone', 'vehicle', 'sue', 'drop', 'injury', 'cover']",pant someone vehicle sue drop injury cover
hospitalisation ,hospitalisation,['hospitalisation'],['hospitalisation'],['hospitalisation'],hospitalisation
operation on injury,operation on injury,"['operation', 'on', 'injury']","['operation', 'injury']","['operation', 'injury']",operation injury
if i fall ill in the middle of my big plans,if i fall ill in the middle of  big plan,"['if', 'i', 'fall', 'ill', 'in', 'the', 'middle', 'of', 'big', 'plan']","['fall', 'ill', 'middle', 'big']","['big', 'fall', 'ill']",big fall ill
travel insurance when my flight was delayed for > hrs,travel insurance when  flight be delay for > hrs,"['travel', 'insurance', 'when', 'flight', 'be', 'delay', 'for', 'hrs']","['travel', 'flight', 'delay', 'hrs']","['travel', 'flight', 'delay', 'hrs']",travel flight delay hrs
when paying for medical bills,when pay for medical bill,"['when', 'pay', 'for', 'medical', 'bill']","['pay', 'medical', 'bill']","['medical', 'bill']",medical bill
"when i am overseas, and a natural disaster occurs, my belongings are insured.","when i be overseas , and a natural disaster occur ,  belonging be insure .","['when', 'i', 'be', 'overseas', 'and', 'a', 'natural', 'disaster', 'occur', 'belonging', 'be', 'insure']","['overseas', 'natural', 'disaster', 'occur', 'belonging', 'insure']","['overseas', 'natural', 'disaster', 'belonging', 'insure']",overseas natural disaster belonging insure
got a slipped disc unexpectedly and got covered from insurance luckily.,get a slip disc unexpectedly and get cover from insurance luckily .,"['get', 'a', 'slip', 'disc', 'unexpectedly', 'and', 'get', 'cover', 'from', 'insurance', 'luckily']","['get', 'slip', 'disc', 'unexpectedly', 'get', 'cover', 'luckily']","['slip', 'cover', 'disc']",slip cover disc
monetary,monetary,['monetary'],['monetary'],['monetary'],monetary
it has helped my family as the insurance manage to cover the hospitalisation costs, have help  family as the insurance manage to cover the hospitalisation cost,"['have', 'help', 'family', 'as', 'the', 'insurance', 'manage', 'to', 'cover', 'the', 'hospitalisation', 'cost']","['help', 'family', 'manage', 'cover', 'hospitalisation', 'cost']","['cover', 'help', 'family', 'hospitalisation', 'cost']",cover help family hospitalisation cost
car accident ,car accident,"['car', 'accident']","['car', 'accident']","['car', 'accident']",car accident
losing money while travelling ,lose money while travel,"['lose', 'money', 'while', 'travel']","['lose', 'money', 'travel']","['money', 'travel']",money travel
when i die d:,when i die d :,"['when', 'i', 'die', 'd']",['die'],['die'],die
"if i suddenly get into an accident tomorrow, or if i caught some hereditary illness from my parents","if i suddenly get into an accident tomorrow , or if i catch some hereditary illness from  parent","['if', 'i', 'suddenly', 'get', 'into', 'an', 'accident', 'tomorrow', 'or', 'if', 'i', 'catch', 'some', 'hereditary', 'illness', 'from', 'parent']","['suddenly', 'get', 'accident', 'tomorrow', 'catch', 'hereditary', 'illness', 'parent']","['accident', 'tomorrow', 'catch', 'hereditary', 'illness', 'parent']",accident tomorrow catch hereditary illness parent
it was good to have the insurance when i went travelling last time , be good to have the insurance when i go travel last time,"['be', 'good', 'to', 'have', 'the', 'insurance', 'when', 'i', 'go', 'travel', 'last', 'time']","['good', 'go', 'travel', 'last', 'time']","['good', 'last', 'time']",good last time
haven't claimed from an insurance agency before!!! ,have not claim from an insurance agency before ! ! !,"['have', 'not', 'claim', 'from', 'an', 'insurance', 'agency', 'before']","['claim', 'agency']","['claim', 'agency']",claim agency
haven’t experienced yet so far,have not experience yet so far,"['have', 'not', 'experience', 'yet', 'so', 'far']","['experience', 'yet', 'far']",['experience'],experience
health or accident,health or accident,"['health', 'or', 'accident']","['health', 'accident']","['health', 'accident']",health accident
if tsunami strikes or if we all take the vaccine and become zombies,if tsunami strike or if  all take the vaccine and become zombie,"['if', 'tsunami', 'strike', 'or', 'if', 'all', 'take', 'the', 'vaccine', 'and', 'become', 'zombie']","['tsunami', 'strike', 'take', 'vaccine', 'become', 'zombie']","['tsunami', 'strike', 'vaccine', 'zombie']",tsunami strike vaccine zombie
"it had helped to pay my bills for acl reconstruction ($, ish)"," have help to pay  bill for acl reconstruction ( $ , ish )","['have', 'help', 'to', 'pay', 'bill', 'for', 'acl', 'reconstruction', 'ish']","['help', 'pay', 'bill', 'acl', 'reconstruction', 'ish']","['help', 'bill', 'reconstruction', 'ish']",help bill reconstruction ish
get hit by a car,get hit by a car,"['get', 'hit', 'by', 'a', 'car']","['get', 'hit', 'car']","['hit', 'car']",hit car
items lost while travelling. house on fire or robbed. road accident. ,item lose while travel . house on fire or rob . road accident .,"['item', 'lose', 'while', 'travel', 'house', 'on', 'fire', 'or', 'rob', 'road', 'accident']","['item', 'lose', 'travel', 'house', 'fire', 'rob', 'road', 'accident']","['item', 'travel', 'house', 'fire', 'rob', 'road', 'accident']",item travel house fire rob road accident
when you get into an accident when you're overseas,when  get into an accident when  be overseas,"['when', 'get', 'into', 'an', 'accident', 'when', 'be', 'overseas']","['get', 'accident', 'overseas']","['accident', 'overseas']",accident overseas
medicinal fees for accidental injury in work or life,medicinal fee for accidental injury in work or life,"['medicinal', 'fee', 'for', 'accidental', 'injury', 'in', 'work', 'or', 'life']","['medicinal', 'fee', 'accidental', 'injury', 'work', 'life']","['medicinal', 'accidental', 'fee', 'injury', 'work', 'life']",medicinal accidental fee injury work life
"getting robbed overseas, if my credit card gets stolen, online scam","get rob overseas , if  credit card get steal , online scam","['get', 'rob', 'overseas', 'if', 'credit', 'card', 'get', 'steal', 'online', 'scam']","['get', 'rob', 'overseas', 'credit', 'card', 'get', 'steal', 'online', 'scam']","['rob', 'overseas', 'steal', 'credit', 'card', 'online', 'scam']",rob overseas steal credit card online scam
lost my phone in thailand. the insurance company paid some money to me.,lose  phone in thailand . the insurance company pay some money to  .,"['lose', 'phone', 'in', 'thailand', 'the', 'insurance', 'company', 'pay', 'some', 'money', 'to']","['lose', 'phone', 'thailand', 'company', 'pay', 'money']","['phone', 'thailand', 'company', 'money']",phone thailand company money
sustaining injury while working,sustain injury while work,"['sustain', 'injury', 'while', 'work']","['sustain', 'injury', 'work']","['sustain', 'injury', 'work']",sustain injury work
health,health,['health'],['health'],['health'],health
disabled orcritical illness ,disabled orcritical illness,"['disabled', 'orcritical', 'illness']","['disabled', 'orcritical', 'illness']","['disabled', 'orcritical', 'illness']",disabled orcritical illness
"went to hosp after going ham on chir chir chicken, not fun","go to hosp after go ham on chir chir chicken , not fun","['go', 'to', 'hosp', 'after', 'go', 'ham', 'on', 'chir', 'chir', 'chicken', 'not', 'fun']","['go', 'hosp', 'go', 'ham', 'chir', 'chir', 'chicken', 'fun']","['ham', 'hosp', 'chir', 'chir', 'chicken', 'fun']",ham hosp chir chir chicken fun
travel insurance has helped me on a trip to japan where i missed a connecting flight. the policy allowed me to make a claim. i think having insurance wood also help me in further situations such as this.,travel insurance have help  on a trip to japan where i miss a connect flight . the policy allow  to make a claim . i think have insurance wood also help  in further situation such as this .,"['travel', 'insurance', 'have', 'help', 'on', 'a', 'trip', 'to', 'japan', 'where', 'i', 'miss', 'a', 'connect', 'flight', 'the', 'policy', 'allow', 'to', 'make', 'a', 'claim', 'i', 'think', 'have', 'insurance', 'wood', 'also', 'help', 'in', 'further', 'situation', 'such', 'as', 'this']","['travel', 'help', 'trip', 'japan', 'miss', 'connect', 'flight', 'allow', 'make', 'claim', 'think', 'wood', 'also', 'help', 'situation']","['connect', 'travel', 'help', 'trip', 'japan', 'flight', 'allow', 'claim', 'think', 'wood', 'situation']",connect travel help trip japan flight allow claim think wood situation
dropping out of uni and havinv to pay back in full one shot was painful.,drop out of uni and havinv to pay back in full one shot be painful .,"['drop', 'out', 'of', 'uni', 'and', 'havinv', 'to', 'pay', 'back', 'in', 'full', 'one', 'shot', 'be', 'painful']","['drop', 'uni', 'havinv', 'pay', 'back', 'full', 'one', 'shot', 'painful']","['uni', 'full', 'drop', 'havinv', 'pay', 'shot', 'painful']",uni full drop havinv pay shot painful
maybe suddenly having covid in this context,maybe suddenly have covid in this context,"['maybe', 'suddenly', 'have', 'covid', 'in', 'this', 'context']","['maybe', 'suddenly', 'covid', 'context']",['context'],context
surgery,surgery,['surgery'],['surgery'],['surgery'],surgery
when i fall sick ,when i fall sick,"['when', 'i', 'fall', 'sick']","['fall', 'sick']","['fall', 'sick']",fall sick
my breast surgery was covered, breast surgery be cover,"['breast', 'surgery', 'be', 'cover']","['breast', 'surgery', 'cover']","['breast', 'surgery', 'cover']",breast surgery cover
injury,injury,['injury'],['injury'],['injury'],injury
making a claim for hospitalization bill,make a claim for hospitalization bill,"['make', 'a', 'claim', 'for', 'hospitalization', 'bill']","['make', 'claim', 'hospitalization', 'bill']","['claim', 'hospitalization', 'bill']",claim hospitalization bill
critical illness ,critical illness,"['critical', 'illness']","['critical', 'illness']","['critical', 'illness']",critical illness
losing my job during a pandemic,lose  job during a pandemic,"['lose', 'job', 'during', 'a', 'pandemic']","['lose', 'job', 'pandemic']","['lose', 'job', 'pandemic']",lose job pandemic
"fractured my arm, fee for consultation was sgd, payout from insurance was sgd hehe","fracture  arm , fee for consultation be sgd , payout from insurance be sgd hehe","['fracture', 'arm', 'fee', 'for', 'consultation', 'be', 'sgd', 'payout', 'from', 'insurance', 'be', 'sgd', 'hehe']","['fracture', 'arm', 'fee', 'consultation', 'sgd', 'payout', 'sgd', 'hehe']","['fracture', 'arm', 'fee', 'consultation', 'sgd', 'payout', 'sgd', 'hehe']",fracture arm fee consultation sgd payout sgd hehe
"no. in fact, i feel that the travel insurance i bought last time was a waste of money cos my claim was unsuccessful. i feel that insurance companies come up with a lot of excuses not to cover you when you actually try to claim.","no . in fact , i feel that the travel insurance i buy last time be a waste of money cos  claim be unsuccessful . i feel that insurance company come up with a lot of excuse not to cover  when  actually try to claim .","['no', 'in', 'fact', 'i', 'feel', 'that', 'the', 'travel', 'insurance', 'i', 'buy', 'last', 'time', 'be', 'a', 'waste', 'of', 'money', 'cos', 'claim', 'be', 'unsuccessful', 'i', 'feel', 'that', 'insurance', 'company', 'come', 'up', 'with', 'a', 'lot', 'of', 'excuse', 'not', 'to', 'cover', 'when', 'actually', 'try', 'to', 'claim']","['fact', 'feel', 'travel', 'buy', 'last', 'time', 'waste', 'money', 'cos', 'claim', 'unsuccessful', 'feel', 'company', 'come', 'lot', 'excuse', 'cover', 'actually', 'try', 'claim']","['last', 'unsuccessful', 'fact', 'travel', 'time', 'waste', 'money', 'claim', 'feel', 'company', 'lot', 'cover', 'claim']",last unsuccessful fact travel time waste money claim feel company lot cover claim
get into an accident or a terminal illnes,get into an accident or a terminal illne,"['get', 'into', 'an', 'accident', 'or', 'a', 'terminal', 'illne']","['get', 'accident', 'terminal', 'illne']","['accident', 'terminal', 'illne']",accident terminal illne
when i got hospitalised suddenly.,when i get hospitalise suddenly .,"['when', 'i', 'get', 'hospitalise', 'suddenly']","['get', 'hospitalise', 'suddenly']",['hospitalise'],hospitalise
natural disaster,natural disaster,"['natural', 'disaster']","['natural', 'disaster']","['natural', 'disaster']",natural disaster
"if i get into an accident, my medical bills can be partially covered by my insurance. ","if i get into an accident ,  medical bill can be partially cover by  insurance .","['if', 'i', 'get', 'into', 'an', 'accident', 'medical', 'bill', 'can', 'be', 'partially', 'cover', 'by', 'insurance']","['get', 'accident', 'medical', 'bill', 'partially', 'cover']","['accident', 'medical', 'bill']",accident medical bill
safety net ,safety net,"['safety', 'net']","['safety', 'net']","['safety', 'net']",safety net
situation whereby hospitalisation is covered by insurance ,situation whereby hospitalisation be cover by insurance,"['situation', 'whereby', 'hospitalisation', 'be', 'cover', 'by', 'insurance']","['situation', 'whereby', 'hospitalisation', 'cover']","['situation', 'hospitalisation', 'cover']",situation hospitalisation cover
surgery ,surgery,['surgery'],['surgery'],['surgery'],surgery
break out of the pandemic may causes me losing my job. having insurance can be a source of income for  my living expenses,break out of the pandemic may cause  lose  job . have insurance can be a source of income for    living expense,"['break', 'out', 'of', 'the', 'pandemic', 'may', 'cause', 'lose', 'job', 'have', 'insurance', 'can', 'be', 'a', 'source', 'of', 'income', 'for', 'living', 'expense']","['break', 'pandemic', 'may', 'cause', 'lose', 'job', 'source', 'income', 'living', 'expense']","['pandemic', 'lose', 'job', 'source', 'income', 'living', 'expense']",pandemic lose job source income living expense
savings for tuition fees,saving for tuition fee,"['saving', 'for', 'tuition', 'fee']","['saving', 'tuition', 'fee']","['tuition', 'fee']",tuition fee
hospital bill for an accident,hospital bill for an accident,"['hospital', 'bill', 'for', 'an', 'accident']","['hospital', 'bill', 'accident']","['hospital', 'bill', 'accident']",hospital bill accident
when my belongings get stolen eg. laptop,when  belonging get steal eg . laptop,"['when', 'belonging', 'get', 'steal', 'eg', 'laptop']","['belonging', 'get', 'steal', 'eg', 'laptop']",['steal'],steal
if i had an injury,if i have an injury,"['if', 'i', 'have', 'an', 'injury']",['injury'],['injury'],injury
unforseen illeness ,unforseen illeness,"['unforseen', 'illeness']","['unforseen', 'illeness']","['unforseen', 'illeness']",unforseen illeness
permanent disability,permanent disability,"['permanent', 'disability']","['permanent', 'disability']","['permanent', 'disability']",permanent disability
"if, for example, i fall gravely ill and end up requiring hospital treatment - insurance would help cover part of the costs if the disease is covered under my plan. ","if , for example , i fall gravely ill and end up require hospital treatment - insurance would help cover part of the cost if the disease be cover under  plan .","['if', 'for', 'example', 'i', 'fall', 'gravely', 'ill', 'and', 'end', 'up', 'require', 'hospital', 'treatment', 'insurance', 'would', 'help', 'cover', 'part', 'of', 'the', 'cost', 'if', 'the', 'disease', 'be', 'cover', 'under', 'plan']","['example', 'fall', 'gravely', 'ill', 'end', 'require', 'hospital', 'treatment', 'would', 'help', 'cover', 'part', 'cost', 'disease', 'cover']","['ill', 'example', 'fall', 'end', 'hospital', 'treatment', 'part', 'cost', 'disease', 'cover']",ill example fall end hospital treatment part cost disease cover
being injured,be injure,"['be', 'injure']",['injure'],['injure'],injure
meeting with accident and needing to cover hospital bills,meet with accident and need to cover hospital bill,"['meet', 'with', 'accident', 'and', 'need', 'to', 'cover', 'hospital', 'bill']","['meet', 'accident', 'need', 'cover', 'hospital', 'bill']","['accident', 'cover', 'meet', 'hospital', 'bill']",accident cover meet hospital bill
any situation that involves calculated risk,any situation that involve calculate risk,"['any', 'situation', 'that', 'involve', 'calculate', 'risk']","['situation', 'involve', 'calculate', 'risk']","['situation', 'calculate', 'risk']",situation calculate risk
"when something unexpected/accidents happen, it would be good to have insurance to cover for the expenses related to it.  ","when something unexpected / accident happen ,  would be good to have insurance to cover for the expense relate to  .  ","['when', 'something', 'unexpected', 'accident', 'happen', 'would', 'be', 'good', 'to', 'have', 'insurance', 'to', 'cover', 'for', 'the', 'expense', 'relate', 'to']","['something', 'unexpected', 'accident', 'happen', 'would', 'good', 'cover', 'expense', 'relate']","['unexpected', 'something', 'accident', 'happen', 'cover', 'expense', 'relate']",unexpected something accident happen cover expense relate
when you are critically ill ,when  be critically ill,"['when', 'be', 'critically', 'ill']","['critically', 'ill']",[],
terminal illness,terminal illness,"['terminal', 'illness']","['terminal', 'illness']","['terminal', 'illness']",terminal illness
"rubbing shattered tempered glass by accident into my eyes, causing some slight discomfort. i was able to claim the full amount of my midnight consultation from my personal accident policy. ","rub shatter temper glass by accident into  eye , cause some slight discomfort . i be able to claim the full amount of  midnight consultation from  personal accident policy .","['rub', 'shatter', 'temper', 'glass', 'by', 'accident', 'into', 'eye', 'cause', 'some', 'slight', 'discomfort', 'i', 'be', 'able', 'to', 'claim', 'the', 'full', 'amount', 'of', 'midnight', 'consultation', 'from', 'personal', 'accident', 'policy']","['rub', 'shatter', 'temper', 'glass', 'accident', 'eye', 'cause', 'slight', 'discomfort', 'able', 'claim', 'full', 'amount', 'midnight', 'consultation', 'personal', 'accident']","['slight', 'able', 'full', 'personal', 'rub', 'shatter', 'glass', 'accident', 'eye', 'cause', 'discomfort', 'claim', 'amount', 'midnight', 'consultation', 'accident']",slight able full personal rub shatter glass accident eye cause discomfort claim amount midnight consultation accident
no accident thank god,no accident thank god,"['no', 'accident', 'thank', 'god']","['accident', 'thank', 'god']","['accident', 'thank', 'god']",accident thank god
never had such a situation,never have such a situation,"['never', 'have', 'such', 'a', 'situation']","['never', 'situation']",['situation'],situation
get into an unexpected car accident and suffers injuries. ,get into an unexpected car accident and suffer injury .,"['get', 'into', 'an', 'unexpected', 'car', 'accident', 'and', 'suffer', 'injury']","['get', 'unexpected', 'car', 'accident', 'suffer', 'injury']","['unexpected', 'car', 'accident', 'injury']",unexpected car accident injury
in the case of any hospitalization or unforeseen travel circumstances i.e. natural disasters ,in the case of any hospitalization or unforeseen travel circumstance i.e. natural disaster,"['in', 'the', 'case', 'of', 'any', 'hospitalization', 'or', 'unforeseen', 'travel', 'circumstance', 'i', 'e', 'natural', 'disaster']","['case', 'hospitalization', 'unforeseen', 'travel', 'circumstance', 'e', 'natural', 'disaster']","['unforeseen', 'e', 'natural', 'case', 'hospitalization', 'travel', 'circumstance', 'disaster']",unforeseen e natural case hospitalization travel circumstance disaster
if i got into an accident and cannot pay,if i get into an accident and can not pay,"['if', 'i', 'get', 'into', 'an', 'accident', 'and', 'can', 'not', 'pay']","['get', 'accident', 'pay']","['accident', 'pay']",accident pay
crisis,crisis,['crisis'],['crisis'],['crisis'],crisis
falling sick overseas,fall sick overseas,"['fall', 'sick', 'overseas']","['fall', 'sick', 'overseas']","['sick', 'fall', 'overseas']",sick fall overseas
an unforeseen illness e.g. cancer,an unforeseen illness e.g. cancer,"['an', 'unforeseen', 'illness', 'e', 'g', 'cancer']","['unforeseen', 'illness', 'e', 'g', 'cancer']","['unforeseen', 'illness', 'e', 'g', 'cancer']",unforeseen illness e g cancer
permanent disability affecting my life the insurance pay out would help assist me,permanent disability affect  life the insurance pay out would help assist ,"['permanent', 'disability', 'affect', 'life', 'the', 'insurance', 'pay', 'out', 'would', 'help', 'assist']","['permanent', 'disability', 'affect', 'life', 'pay', 'would', 'help', 'assist']","['permanent', 'disability', 'life', 'pay']",permanent disability life pay
when i'm in need of money to pay off something i didn't prepare for,when  be in need of money to pay off something i do not prepare for,"['when', 'be', 'in', 'need', 'of', 'money', 'to', 'pay', 'off', 'something', 'i', 'do', 'not', 'prepare', 'for']","['need', 'money', 'pay', 'something', 'prepare']","['money', 'something', 'prepare']",money something prepare
"freak accidents overseas, fire damage to property, accidents leading to permanent impediment or disability","freak accident overseas , fire damage to property , accident lead to permanent impediment or disability","['freak', 'accident', 'overseas', 'fire', 'damage', 'to', 'property', 'accident', 'lead', 'to', 'permanent', 'impediment', 'or', 'disability']","['freak', 'accident', 'overseas', 'fire', 'damage', 'property', 'accident', 'lead', 'permanent', 'impediment', 'disability']","['freak', 'fire', 'accident', 'lead', 'permanent', 'accident', 'damage', 'property', 'impediment', 'disability']",freak fire accident lead permanent accident damage property impediment disability
hospitalization plan would help for in case of emergencies or accidents ,hospitalization plan would help for in case of emergency or accident,"['hospitalization', 'plan', 'would', 'help', 'for', 'in', 'case', 'of', 'emergency', 'or', 'accident']","['hospitalization', 'would', 'help', 'case', 'emergency', 'accident']","['hospitalization', 'case', 'emergency', 'accident']",hospitalization case emergency accident
"if i ever get into an accident and have to stay in hospital, having insurance can help with the hospital bill.","if i ever get into an accident and have to stay in hospital , have insurance can help with the hospital bill .","['if', 'i', 'ever', 'get', 'into', 'an', 'accident', 'and', 'have', 'to', 'stay', 'in', 'hospital', 'have', 'insurance', 'can', 'help', 'with', 'the', 'hospital', 'bill']","['ever', 'get', 'accident', 'stay', 'hospital', 'help', 'hospital', 'bill']","['accident', 'stay', 'hospital', 'help', 'hospital', 'bill']",accident stay hospital help hospital bill
"with medical bills are soaring, having an insurance would at least help to cover some portion of the amount. ","with medical bill be soar , have an insurance would at least help to cover some portion of the amount .","['with', 'medical', 'bill', 'be', 'soar', 'have', 'an', 'insurance', 'would', 'at', 'least', 'help', 'to', 'cover', 'some', 'portion', 'of', 'the', 'amount']","['medical', 'bill', 'soar', 'would', 'least', 'help', 'cover', 'portion', 'amount']","['medical', 'bill', 'portion', 'amount']",medical bill portion amount
if i got into an accident and become physically disabled to take care of myself then having critical illness insurance would be helpful to cover my health expenses,if i get into an accident and become physically disabled to take care of  then have critical illness insurance would be helpful to cover  health expense,"['if', 'i', 'get', 'into', 'an', 'accident', 'and', 'become', 'physically', 'disabled', 'to', 'take', 'care', 'of', 'then', 'have', 'critical', 'illness', 'insurance', 'would', 'be', 'helpful', 'to', 'cover', 'health', 'expense']","['get', 'accident', 'become', 'physically', 'disabled', 'take', 'care', 'critical', 'illness', 'would', 'helpful', 'cover', 'health', 'expense']","['accident', 'disabled', 'critical', 'cover', 'take', 'care', 'illness', 'health', 'expense']",accident disabled critical cover take care illness health expense
